ISIC_CODE,LEVEL_CODE,LEVEL_NO,PARENT_ISIC_CODE,NAME_FA,NAME_EN,TRANSLATION_STATUS_CODE,IS_SELECTABLE,SORT_ORDER
0142,CLASS,4,014,پرورش اسب و سایر تک‌سمیان,Raising of horses and other equines,BANK_TRANSLATED,1,250
0143,CLASS,4,014,پرورش شتر و شترسانان,Raising of camels and camelids,BANK_TRANSLATED,1,260
0144,CLASS,4,014,پرورش گوسفند و بز,Raising of sheep and goats,BANK_TRANSLATED,1,270
0145,CLASS,4,014,پرورش خوک,Raising of swine/pigs,BANK_TRANSLATED,1,280
0146,CLASS,4,014,پرورش طیور,Raising of poultry,BANK_TRANSLATED,1,290
0149,CLASS,4,014,پرورش سایر حیوانات,Raising of other animals,BANK_TRANSLATED,1,300
015,GROUP,3,01,کشاورزی مختلط,Mixed farming,BANK_TRANSLATED,0,310
0150,CLASS,4,015,کشاورزی مختلط,Mixed farming,BANK_TRANSLATED,1,320
016,GROUP,3,01,فعالیت‌های پشتیبانی کشاورزی و فعالیت‌های پس از برداشت محصولات زراعی,Support activities to agriculture and post-harvest crop activities,BANK_TRANSLATED,0,330
0161,CLASS,4,016,فعالیت‌های پشتیبانی تولید محصولات زراعی,Support activities for crop production,BANK_TRANSLATED,1,340
0162,CLASS,4,016,فعالیت‌های پشتیبانی تولیدات دامی,Support activities for animal production,BANK_TRANSLATED,1,350
0163,CLASS,4,016,فعالیت‌های پس از برداشت محصولات زراعی,Post-harvest crop activities,BANK_TRANSLATED,1,360
0164,CLASS,4,016,فرآوری بذر برای تکثیر,Seed processing for propagation,BANK_TRANSLATED,1,370
017,GROUP,3,01,شکار، تله‌گذاری و فعالیت‌های خدماتی مرتبط,"Hunting, trapping and related service activities",BANK_TRANSLATED,0,380
0170,CLASS,4,017,شکار، تله‌گذاری و فعالیت‌های خدماتی مرتبط,"Hunting, trapping and related service activities",BANK_TRANSLATED,1,390
02,DIVISION,2,A,جنگلداری و بهره‌برداری از جنگل,Forestry and logging,BANK_TRANSLATED,0,400
021,GROUP,3,02,جنگل‌کاری و سایر فعالیت‌های جنگلداری,Silviculture and other forestry activities,BANK_TRANSLATED,0,410
0210,CLASS,4,021,جنگل‌کاری و سایر فعالیت‌های جنگلداری,Silviculture and other forestry activities,BANK_TRANSLATED,1,420
022,GROUP,3,02,بهره‌برداری از چوب جنگل,Logging,BANK_TRANSLATED,0,430
0220,CLASS,4,022,بهره‌برداری از چوب جنگل,Logging,BANK_TRANSLATED,1,440
023,GROUP,3,02,جمع‌آوری محصولات غیرچوبی جنگل,Gathering of non-wood forest products,BANK_TRANSLATED,0,450
0230,CLASS,4,023,جمع‌آوری محصولات غیرچوبی جنگل,Gathering of non-wood forest products,BANK_TRANSLATED,1,460
024,GROUP,3,02,خدمات پشتیبانی جنگلداری,Support services to forestry,BANK_TRANSLATED,0,470
0240,CLASS,4,024,خدمات پشتیبانی جنگلداری,Support services to forestry,BANK_TRANSLATED,1,480
03,DIVISION,2,A,ماهیگیری و آبزی‌پروری,Fishing and aquaculture,BANK_TRANSLATED,0,490
031,GROUP,3,03,ماهیگیری,Fishing,BANK_TRANSLATED,0,500
0311,CLASS,4,031,ماهیگیری دریایی,Marine fishing,BANK_TRANSLATED,1,510
0312,CLASS,4,031,ماهیگیری آب‌های شیرین,Freshwater fishing,BANK_TRANSLATED,1,520
032,GROUP,3,03,آبزی‌پروری,Aquaculture,BANK_TRANSLATED,0,530
0321,CLASS,4,032,آبزی‌پروری دریایی,Marine aquaculture,BANK_TRANSLATED,1,540
0322,CLASS,4,032,آبزی‌پروری آب‌های شیرین,Freshwater aquaculture,BANK_TRANSLATED,1,550
B,SECTION,1,,استخراج معدن,Mining and quarrying,BANK_TRANSLATED,0,560
05,DIVISION,2,B,استخراج زغال‌سنگ و لیگنیت,Mining of coal and lignite,BANK_TRANSLATED,0,570
051,GROUP,3,05,استخراج زغال‌سنگ سخت,Mining of hard coal,BANK_TRANSLATED,0,580
0510,CLASS,4,051,استخراج زغال‌سنگ سخت,Mining of hard coal,BANK_TRANSLATED,1,590
052,GROUP,3,05,استخراج لیگنیت,Mining of lignite,BANK_TRANSLATED,0,600
0520,CLASS,4,052,استخراج لیگنیت,Mining of lignite,BANK_TRANSLATED,1,610
06,DIVISION,2,B,استخراج نفت خام و گاز طبیعی,Extraction of crude petroleum and natural gas,BANK_TRANSLATED,0,620
061,GROUP,3,06,استخراج نفت خام,Extraction of crude petroleum,BANK_TRANSLATED,0,630
0610,CLASS,4,061,استخراج نفت خام,Extraction of crude petroleum,BANK_TRANSLATED,1,640
062,GROUP,3,06,استخراج گاز طبیعی,Extraction of natural gas,BANK_TRANSLATED,0,650
0620,CLASS,4,062,استخراج گاز طبیعی,Extraction of natural gas,BANK_TRANSLATED,1,660
07,DIVISION,2,B,استخراج سنگ‌های فلزی,Mining of metal ores,BANK_TRANSLATED,0,670
071,GROUP,3,07,استخراج سنگ‌آهن,Mining of iron ores,BANK_TRANSLATED,0,680
0710,CLASS,4,071,استخراج سنگ‌آهن,Mining of iron ores,BANK_TRANSLATED,1,690
072,GROUP,3,07,استخراج سنگ‌های فلزی غیرآهنی,Mining of non-ferrous metal ores,BANK_TRANSLATED,0,700
0721,CLASS,4,072,استخراج سنگ‌های اورانیوم و توریم,Mining of uranium and thorium ores,BANK_TRANSLATED,1,710
0729,CLASS,4,072,استخراج سایر سنگ‌های فلزی غیرآهنی,Mining of other non-ferrous metal ores,BANK_TRANSLATED,1,720
08,DIVISION,2,B,سایر فعالیت‌های استخراج معدن,Other mining and quarrying,BANK_TRANSLATED,0,730
081,GROUP,3,08,استخراج سنگ، شن و خاک رس,"Quarrying of stone, sand and clay",BANK_TRANSLATED,0,740
0810,CLASS,4,081,استخراج سنگ، شن و خاک رس,"Quarrying of stone, sand and clay",BANK_TRANSLATED,1,750
089,GROUP,3,08,سایر فعالیت‌های استخراج معدن طبقه‌بندی‌نشده در جای دیگر,Mining and quarrying n.e.c.,BANK_TRANSLATED,0,760
0891,CLASS,4,089,استخراج مواد معدنی شیمیایی و کودی,Mining of chemical and fertilizer minerals,BANK_TRANSLATED,1,770
0892,CLASS,4,089,استخراج تورب,Extraction of peat,BANK_TRANSLATED,1,780
0893,CLASS,4,089,استخراج نمک,Extraction of salt,BANK_TRANSLATED,1,790
0899,CLASS,4,089,سایر فعالیت‌های استخراج معدن طبقه‌بندی‌نشده در جای دیگر,Other mining and quarrying n.e.c.,BANK_TRANSLATED,1,800
09,DIVISION,2,B,فعالیت‌های خدمات پشتیبانی استخراج معدن,Mining support service activities,BANK_TRANSLATED,0,810
091,GROUP,3,09,فعالیت‌های پشتیبانی استخراج نفت و گاز طبیعی,Support activities for petroleum and natural gas extraction,BANK_TRANSLATED,0,820
0910,CLASS,4,091,فعالیت‌های پشتیبانی استخراج نفت و گاز طبیعی,Support activities for petroleum and natural gas extraction,BANK_TRANSLATED,1,830
099,GROUP,3,09,فعالیت‌های پشتیبانی سایر استخراج‌های معدنی,Support activities for other mining and quarrying,BANK_TRANSLATED,0,840
0990,CLASS,4,099,فعالیت‌های پشتیبانی سایر استخراج‌های معدنی,Support activities for other mining and quarrying,BANK_TRANSLATED,1,850
C,SECTION,1,,ساخت و تولید,Manufacturing,BANK_TRANSLATED,0,860
10,DIVISION,2,C,ساخت محصولات غذایی,Manufacture of food products,BANK_TRANSLATED,0,870
101,GROUP,3,10,فرآوری و نگهداری گوشت,Processing and preserving of meat,BANK_TRANSLATED,0,880
1010,CLASS,4,101,فرآوری و نگهداری گوشت,Processing and preserving of meat,BANK_TRANSLATED,1,890
102,GROUP,3,10,فرآوری و نگهداری ماهی، سخت‌پوستان و نرم‌تنان,"Processing and preserving of fish, crustaceans and molluscs",BANK_TRANSLATED,0,900
1020,CLASS,4,102,فرآوری و نگهداری ماهی، سخت‌پوستان و نرم‌تنان,"Processing and preserving of fish, crustaceans and molluscs",BANK_TRANSLATED,1,910
103,GROUP,3,10,فرآوری و نگهداری میوه و سبزیجات,Processing and preserving of fruit and vegetables,BANK_TRANSLATED,0,920
1030,CLASS,4,103,فرآوری و نگهداری میوه و سبزیجات,Processing and preserving of fruit and vegetables,BANK_TRANSLATED,1,930
104,GROUP,3,10,ساخت روغن‌ها و چربی‌های گیاهی و حیوانی,Manufacture of vegetable and animal oils and fats,BANK_TRANSLATED,0,940
1040,CLASS,4,104,ساخت روغن‌ها و چربی‌های گیاهی و حیوانی,Manufacture of vegetable and animal oils and fats,BANK_TRANSLATED,1,950
105,GROUP,3,10,ساخت محصولات لبنی,Manufacture of dairy products,BANK_TRANSLATED,0,960
1050,CLASS,4,105,ساخت محصولات لبنی,Manufacture of dairy products,BANK_TRANSLATED,1,970
106,GROUP,3,10,ساخت محصولات آسیاب غلات، نشاسته و محصولات نشاسته‌ای,"Manufacture of grain mill products, starches and starch products",BANK_TRANSLATED,0,980
1061,CLASS,4,106,ساخت محصولات آسیاب غلات,Manufacture of grain mill products,BANK_TRANSLATED,1,990
1062,CLASS,4,106,ساخت نشاسته و محصولات نشاسته‌ای,Manufacture of starches and starch products,BANK_TRANSLATED,1,1000
107,GROUP,3,10,ساخت سایر محصولات غذایی,Manufacture of other food products,BANK_TRANSLATED,0,1010
1071,CLASS,4,107,ساخت محصولات نانوایی,Manufacture of bakery products,BANK_TRANSLATED,1,1020
1072,CLASS,4,107,ساخت شکر,Manufacture of sugar,BANK_TRANSLATED,1,1030
1073,CLASS,4,107,ساخت کاکائو، شکلات و شیرینی‌های قندی,"Manufacture of cocoa, chocolate and sugar confectionery",BANK_TRANSLATED,1,1040
1074,CLASS,4,107,ساخت ماکارونی، رشته، کوسکوس و محصولات آردی مشابه,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",BANK_TRANSLATED,1,1050
1075,CLASS,4,107,ساخت غذاها و خوراک‌های آماده,Manufacture of prepared meals and dishes,BANK_TRANSLATED,1,1060
1079,CLASS,4,107,ساخت سایر محصولات غذایی طبقه‌بندی‌نشده در جای دیگر,Manufacture of other food products n.e.c.,BANK_TRANSLATED,1,1070
108,GROUP,3,10,ساخت خوراک آماده حیوانات,Manufacture of prepared animal feeds,BANK_TRANSLATED,0,1080
1080,CLASS,4,108,ساخت خوراک آماده حیوانات,Manufacture of prepared animal feeds,BANK_TRANSLATED,1,1090
11,DIVISION,2,C,ساخت نوشیدنی‌ها,Manufacture of beverages,BANK_TRANSLATED,0,1100
110,GROUP,3,11,ساخت نوشیدنی‌ها,Manufacture of beverages,BANK_TRANSLATED,0,1110
1101,CLASS,4,110,تقطیر، تصفیه و ترکیب مشروبات الکلی,"Distilling, rectifying and blending of spirits",BANK_TRANSLATED,1,1120
1102,CLASS,4,110,ساخت شراب,Manufacture of wines,BANK_TRANSLATED,1,1130
1103,CLASS,4,110,ساخت نوشیدنی‌های مالت و مالت,Manufacture of malt liquors and malt,BANK_TRANSLATED,1,1140
1104,CLASS,4,110,ساخت نوشابه؛ تولید آب‌های معدنی و سایر آب‌های بطری‌شده,Manufacture of soft drinks; production of mineral waters and other bottled waters,BANK_TRANSLATED,1,1150
12,DIVISION,2,C,ساخت محصولات دخانی,Manufacture of tobacco products,BANK_TRANSLATED,0,1160
120,GROUP,3,12,ساخت محصولات دخانی,Manufacture of tobacco products,BANK_TRANSLATED,0,1170
1200,CLASS,4,120,ساخت محصولات دخانی,Manufacture of tobacco products,BANK_TRANSLATED,1,1180
13,DIVISION,2,C,ساخت منسوجات,Manufacture of textiles,BANK_TRANSLATED,0,1190
131,GROUP,3,13,ریسندگی، بافندگی و تکمیل منسوجات,"Spinning, weaving and finishing of textiles",BANK_TRANSLATED,0,1200
1311,CLASS,4,131,آماده‌سازی و ریسندگی الیاف نساجی,Preparation and spinning of textile fibres,BANK_TRANSLATED,1,1210
1312,CLASS,4,131,بافندگی منسوجات,Weaving of textiles,BANK_TRANSLATED,1,1220
1313,CLASS,4,131,تکمیل منسوجات,Finishing of textiles,BANK_TRANSLATED,1,1230
139,GROUP,3,13,ساخت سایر منسوجات,Manufacture of other textiles,BANK_TRANSLATED,0,1240
1391,CLASS,4,139,ساخت پارچه‌های کشباف و قلاب‌بافی,Manufacture of knitted and crocheted fabrics,BANK_TRANSLATED,1,1250
1392,CLASS,4,139,ساخت مصنوعات نساجی آماده، به‌جز پوشاک,"Manufacture of made-up textile articles, except apparel",BANK_TRANSLATED,1,1260
1393,CLASS,4,139,ساخت فرش و قالیچه,Manufacture of carpets and rugs,BANK_TRANSLATED,1,1270
1394,CLASS,4,139,ساخت طناب، ریسمان، نخ چندلا و تور,"Manufacture of cordage, rope, twine and netting",BANK_TRANSLATED,1,1280
1399,CLASS,4,139,ساخت سایر منسوجات طبقه‌بندی‌نشده در جای دیگر,Manufacture of other textiles n.e.c.,BANK_TRANSLATED,1,1290
14,DIVISION,2,C,ساخت پوشاک,Manufacture of wearing apparel,BANK_TRANSLATED,0,1300
141,GROUP,3,14,ساخت پوشاک، به‌جز پوشاک خزدار,"Manufacture of wearing apparel, except fur apparel",BANK_TRANSLATED,0,1310
1410,CLASS,4,141,ساخت پوشاک، به‌جز پوشاک خزدار,"Manufacture of wearing apparel, except fur apparel",BANK_TRANSLATED,1,1320
142,GROUP,3,14,ساخت مصنوعات خز,Manufacture of articles of fur,BANK_TRANSLATED,0,1330
1420,CLASS,4,142,ساخت مصنوعات خز,Manufacture of articles of fur,BANK_TRANSLATED,1,1340
143,GROUP,3,14,ساخت پوشاک کشباف و قلاب‌بافی,Manufacture of knitted and crocheted apparel,BANK_TRANSLATED,0,1350
1430,CLASS,4,143,ساخت پوشاک کشباف و قلاب‌بافی,Manufacture of knitted and crocheted apparel,BANK_TRANSLATED,1,1360
15,DIVISION,2,C,ساخت چرم و محصولات وابسته,Manufacture of leather and related products,BANK_TRANSLATED,0,1370
151,GROUP,3,15,دباغی و پرداخت چرم؛ ساخت چمدان، کیف دستی، زین و یراق؛ پرداخت و رنگرزی خز,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",BANK_TRANSLATED,0,1380
1511,CLASS,4,151,دباغی و پرداخت چرم؛ پرداخت و رنگرزی خز,Tanning and dressing of leather; dressing and dyeing of fur,BANK_TRANSLATED,1,1390
1512,CLASS,4,151,ساخت چمدان، کیف دستی و محصولات مشابه، زین و یراق,"Manufacture of luggage, handbags and the like, saddlery and harness",BANK_TRANSLATED,1,1400
152,GROUP,3,15,ساخت کفش,Manufacture of footwear,BANK_TRANSLATED,0,1410
1520,CLASS,4,152,ساخت کفش,Manufacture of footwear,BANK_TRANSLATED,1,1420
16,DIVISION,2,C,ساخت چوب و محصولات چوب و چوب‌پنبه، به‌جز مبلمان؛ ساخت مصنوعات حصیری و بافتنی,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",BANK_TRANSLATED,0,1430
161,GROUP,3,16,اره‌کشی و رنده‌کاری چوب,Sawmilling and planing of wood,BANK_TRANSLATED,0,1440
1610,CLASS,4,161,اره‌کشی و رنده‌کاری چوب,Sawmilling and planing of wood,BANK_TRANSLATED,1,1450
162,GROUP,3,16,ساخت محصولات چوب، چوب‌پنبه، حصیر و مواد بافتنی,"Manufacture of products of wood, cork, straw and plaiting materials",BANK_TRANSLATED,0,1460
1621,CLASS,4,162,ساخت ورق روکش و پانل‌های چوبی,Manufacture of veneer sheets and wood-based panels,BANK_TRANSLATED,1,1470
1622,CLASS,4,162,ساخت مصنوعات نجاری و درودگری ساختمانی,Manufacture of builders' carpentry and joinery,BANK_TRANSLATED,1,1480
1623,CLASS,4,162,ساخت ظروف و محفظه‌های چوبی,Manufacture of wooden containers,BANK_TRANSLATED,1,1490
1629,CLASS,4,162,ساخت سایر محصولات چوبی؛ ساخت مصنوعات چوب‌پنبه، حصیر و مواد بافتنی,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",BANK_TRANSLATED,1,1500
17,DIVISION,2,C,ساخت کاغذ و محصولات کاغذی,Manufacture of paper and paper products,BANK_TRANSLATED,0,1510
170,GROUP,3,17,ساخت کاغذ و محصولات کاغذی,Manufacture of paper and paper products,BANK_TRANSLATED,0,1520
1701,CLASS,4,170,ساخت خمیر کاغذ، کاغذ و مقوا,"Manufacture of pulp, paper and paperboard",BANK_TRANSLATED,1,1530
1702,CLASS,4,170,ساخت کاغذ و مقوای موج‌دار و ظروف کاغذی و مقوایی,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,BANK_TRANSLATED,1,1540
1709,CLASS,4,170,ساخت سایر مصنوعات کاغذ و مقوا,Manufacture of other articles of paper and paperboard,BANK_TRANSLATED,1,1550
18,DIVISION,2,C,چاپ و تکثیر رسانه‌های ضبط‌شده,Printing and reproduction of recorded media,BANK_TRANSLATED,0,1560
181,GROUP,3,18,چاپ و فعالیت‌های خدماتی مرتبط با چاپ,Printing and service activities related to printing,BANK_TRANSLATED,0,1570
1811,CLASS,4,181,چاپ,Printing,BANK_TRANSLATED,1,1580
1812,CLASS,4,181,فعالیت‌های خدماتی مرتبط با چاپ,Service activities related to printing,BANK_TRANSLATED,1,1590
182,GROUP,3,18,تکثیر رسانه‌های ضبط‌شده,Reproduction of recorded media,BANK_TRANSLATED,0,1600
1820,CLASS,4,182,تکثیر رسانه‌های ضبط‌شده,Reproduction of recorded media,BANK_TRANSLATED,1,1610
19,DIVISION,2,C,ساخت کک و فرآورده‌های پالایش‌شده نفتی,Manufacture of coke and refined petroleum products,BANK_TRANSLATED,0,1620
191,GROUP,3,19,ساخت محصولات کوره کک,Manufacture of coke oven products,BANK_TRANSLATED,0,1630
1910,CLASS,4,191,ساخت محصولات کوره کک,Manufacture of coke oven products,BANK_TRANSLATED,1,1640
192,GROUP,3,19,ساخت فرآورده‌های پالایش‌شده نفتی,Manufacture of refined petroleum products,BANK_TRANSLATED,0,1650
1920,CLASS,4,192,ساخت فرآورده‌های پالایش‌شده نفتی,Manufacture of refined petroleum products,BANK_TRANSLATED,1,1660
20,DIVISION,2,C,ساخت مواد و محصولات شیمیایی,Manufacture of chemicals and chemical products,BANK_TRANSLATED,0,1670
201,GROUP,3,20,ساخت مواد شیمیایی پایه، کودها و ترکیبات نیتروژنی، پلاستیک و لاستیک مصنوعی در اشکال اولیه,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",BANK_TRANSLATED,0,1680
2011,CLASS,4,201,ساخت مواد شیمیایی پایه,Manufacture of basic chemicals,BANK_TRANSLATED,1,1690
2012,CLASS,4,201,ساخت کودها و ترکیبات نیتروژنی,Manufacture of fertilizers and nitrogen compounds,BANK_TRANSLATED,1,1700
2013,CLASS,4,201,ساخت پلاستیک و لاستیک مصنوعی در اشکال اولیه,Manufacture of plastics and synthetic rubber in primary forms,BANK_TRANSLATED,1,1710
202,GROUP,3,20,ساخت سایر محصولات شیمیایی,Manufacture of other chemical products,BANK_TRANSLATED,0,1720
2021,CLASS,4,202,ساخت آفت‌کش‌ها و سایر محصولات شیمیایی کشاورزی,Manufacture of pesticides and other agrochemical products,BANK_TRANSLATED,1,1730
2022,CLASS,4,202,ساخت رنگ، لاک و پوشش‌های مشابه، جوهر چاپ و ماستیک,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",BANK_TRANSLATED,1,1740
2023,CLASS,4,202,ساخت صابون و مواد شوینده، مواد پاک‌کننده و صیقل‌دهنده، عطر و فرآورده‌های بهداشتی,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",BANK_TRANSLATED,1,1750
2029,CLASS,4,202,ساخت سایر محصولات شیمیایی طبقه‌بندی‌نشده در جای دیگر,Manufacture of other chemical products n.e.c.,BANK_TRANSLATED,1,1760
203,GROUP,3,20,ساخت الیاف مصنوعی,Manufacture of man-made fibres,BANK_TRANSLATED,0,1770
2030,CLASS,4,203,ساخت الیاف مصنوعی,Manufacture of man-made fibres,BANK_TRANSLATED,1,1780
21,DIVISION,2,C,ساخت محصولات دارویی پایه و فرآورده‌های دارویی,Manufacture of basic pharmaceutical products and pharmaceutical preparations,BANK_TRANSLATED,0,1790
210,GROUP,3,21,ساخت محصولات دارویی، مواد شیمیایی دارویی و محصولات گیاهی دارویی,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",BANK_TRANSLATED,0,1800
2100,CLASS,4,210,ساخت محصولات دارویی، مواد شیمیایی دارویی و محصولات گیاهی دارویی,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",BANK_TRANSLATED,1,1810
22,DIVISION,2,C,ساخت محصولات لاستیکی و پلاستیکی,Manufacture of rubber and plastics products,BANK_TRANSLATED,0,1820
221,GROUP,3,22,ساخت محصولات لاستیکی,Manufacture of rubber products,BANK_TRANSLATED,0,1830
2211,CLASS,4,221,ساخت تایر و تیوب لاستیکی؛ روکش‌گذاری و بازسازی تایرهای لاستیکی,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,BANK_TRANSLATED,1,1840
2219,CLASS,4,221,ساخت سایر محصولات لاستیکی,Manufacture of other rubber products,BANK_TRANSLATED,1,1850
222,GROUP,3,22,ساخت محصولات پلاستیکی,Manufacture of plastics products,BANK_TRANSLATED,0,1860
2220,CLASS,4,222,ساخت محصولات پلاستیکی,Manufacture of plastics products,BANK_TRANSLATED,1,1870
23,DIVISION,2,C,ساخت سایر محصولات معدنی غیرفلزی,Manufacture of other non-metallic mineral products,BANK_TRANSLATED,0,1880
231,GROUP,3,23,ساخت شیشه و محصولات شیشه‌ای,Manufacture of glass and glass products,BANK_TRANSLATED,0,1890
2310,CLASS,4,231,ساخت شیشه و محصولات شیشه‌ای,Manufacture of glass and glass products,BANK_TRANSLATED,1,1900
239,GROUP,3,23,ساخت محصولات معدنی غیرفلزی طبقه‌بندی‌نشده در جای دیگر,Manufacture of non-metallic mineral products n.e.c.,BANK_TRANSLATED,0,1910
2391,CLASS,4,239,ساخت محصولات نسوز,Manufacture of refractory products,BANK_TRANSLATED,1,1920
2392,CLASS,4,239,ساخت مصالح ساختمانی رسی,Manufacture of clay building materials,BANK_TRANSLATED,1,1930
2393,CLASS,4,239,ساخت سایر محصولات چینی و سرامیکی,Manufacture of other porcelain and ceramic products,BANK_TRANSLATED,1,1940
2394,CLASS,4,239,ساخت سیمان، آهک و گچ,"Manufacture of cement, lime and plaster",BANK_TRANSLATED,1,1950
2395,CLASS,4,239,ساخت مصنوعات بتنی، سیمانی و گچی,"Manufacture of articles of concrete, cement and plaster",BANK_TRANSLATED,1,1960
2396,CLASS,4,239,برش، شکل‌دهی و تکمیل سنگ,"Cutting, shaping and finishing of stone",BANK_TRANSLATED,1,1970
2399,CLASS,4,239,ساخت سایر محصولات معدنی غیرفلزی طبقه‌بندی‌نشده در جای دیگر,Manufacture of other non-metallic mineral products n.e.c.,BANK_TRANSLATED,1,1980
24,DIVISION,2,C,ساخت فلزات پایه,Manufacture of basic metals,BANK_TRANSLATED,0,1990
241,GROUP,3,24,ساخت آهن و فولاد پایه,Manufacture of basic iron and steel,BANK_TRANSLATED,0,2000
2410,CLASS,4,241,ساخت آهن و فولاد پایه,Manufacture of basic iron and steel,BANK_TRANSLATED,1,2010
242,GROUP,3,24,ساخت فلزات گران‌بها و سایر فلزات غیرآهنی پایه,Manufacture of basic precious and other non-ferrous metals,BANK_TRANSLATED,0,2020
2420,CLASS,4,242,ساخت فلزات گران‌بها و سایر فلزات غیرآهنی پایه,Manufacture of basic precious and other non-ferrous metals,BANK_TRANSLATED,1,2030
243,GROUP,3,24,ریخته‌گری فلزات,Casting of metals,BANK_TRANSLATED,0,2040
2431,CLASS,4,243,ریخته‌گری آهن و فولاد,Casting of iron and steel,BANK_TRANSLATED,1,2050
2432,CLASS,4,243,ریخته‌گری فلزات غیرآهنی,Casting of non-ferrous metals,BANK_TRANSLATED,1,2060
25,DIVISION,2,C,ساخت محصولات فلزی ساخته‌شده، به‌جز ماشین‌آلات و تجهیزات,"Manufacture of fabricated metal products, except machinery and equipment",BANK_TRANSLATED,0,2070
251,GROUP,3,25,ساخت محصولات فلزی سازه‌ای، مخازن، تانک‌ها و مولدهای بخار,"Manufacture of structural metal products, tanks, reservoirs and steam generators",BANK_TRANSLATED,0,2080
2511,CLASS,4,251,ساخت محصولات فلزی سازه‌ای,Manufacture of structural metal products,BANK_TRANSLATED,1,2090
2512,CLASS,4,251,ساخت تانک‌ها، مخازن و ظروف فلزی,"Manufacture of tanks, reservoirs and containers of metal",BANK_TRANSLATED,1,2100
2513,CLASS,4,251,ساخت مولدهای بخار، به‌جز دیگ‌های آب گرم گرمایش مرکزی,"Manufacture of steam generators, except central heating hot water boilers",BANK_TRANSLATED,1,2110
252,GROUP,3,25,ساخت سلاح و مهمات,Manufacture of weapons and ammunition,BANK_TRANSLATED,0,2120
